tta1,tta2,tta3,tta4,tta5,tta6,tta7,tta8,tta9,tta10,tta11,tta12,tta13,tta14,tta15,tta16,tta17,tta18,tta19,tta20,tta21,tta22,tta23,tta24,tta25,tta26,tta27,tta28,tta29,tta30,tta31
0,0,-3.883,0,-1.778,-4.374,-3.19,0.7943,0,1.867,0,0,0,1.193,0,0,0,0,-1.82,0,-2.692,0.4314,0,0,-2.338,0,0,-1.041,0,-1.453,0
0,0,-1.285,0,0,-5.117,-1.964,0,0,0,0,0,0,1.064,0,0,0,0,-2.294,0,0.136,-2.836,0,0,0,0,0,-6.674,0,-3.09,-2.96
0,0,0,0,-0.2071,-5.661,0,0,3.787,0,0,0,0.3871,2.219,0,0,0,0,-1.96,0,-3.009,-4.437,0,0,0,0,-0.6325,-4.136,0,0,-5.443
0,0,0,0,-1.515,-6.681,0,0,2.297,0,0,-9.024,-1.614,-1.559,0,0,0,0,-2.296,0,-1.072,0,0,0,0,0,-2.162,-5.841,0,0,-1.732
0,0,0,0,0,0,-1.064,-3.583,2.935,0,0.5698,0,1.256,0.2274,0,0,0,-0.4208,-2.237,0,-0.9982,0,0,-2.837,0,0,-1.687,-1.817,0,0,-0.4788
0,0.0713,0,0,0,0,0,0.8091,2.218,0,-2.339,-3.721,0.72,0.2445,0,0,0,0,-2.007,0,-1.387,0,0,-0.7386,0,0,-1.711,-2.862,0,0,-4.62
0,0,-0.7375,0,0,-2.136,-3.179,0,1.952,0,-0.8259,-1.874,0,0,0,0,0,0,-0.717,0,-5.403,-2.56,0,-3.048,0,0,0,-2.833,0,0,-3.839
0,0,0,0,0,-1.014,-4.612,0,0.2009,0,0.3349,-4.039,0,-3.815,0,0,0,0,-2.245,0,-2.74,-4.503,0,-3.517,0,0.02594,-0.6068,-4.75,0,0,-5.477
0,-0.3436,0,0,0,-3.162,-1.393,-3.9,0.5259,0,0,0,0.6028,0,-1.543,0,0,0.2025,-0.62,0,-2.454,0,0,0,-0.7081,0,0,-2.338,0,0,-1.148
0,-0.1909,0,0,0,-2.882,-0.7157,-1.265,1.259,1.225,0,0.3127,0.549,-0.176,-3.997,0,0,0.03384,-1.683,0,-4.229,-3.029,0,0,-0.9878,0,0,-2.041,0,0,-1.622
0,0,0,0,-3.603,-0.3457,-5.491,-4.099,0.009494,0.6869,-0.9773,-6.448,-0.627,1.831,0,0,0,0,-1.469,0.6951,-0.4876,-2.219,0,0,-0.3337,0,0,-3.418,-3.325,0,0
-6.477,0,0,0,-1.671,-1.068,0,0.7562,-0.6712,2.173,0,-3.696,-0.3602,2.209,0,0,0,0,-2.908,-1.145,0,-3.579,0,-0.8527,-0.8853,0,0,-5.894,0,0.6366,-1.542
-2.055,0,-1.442,0,0.3544,0,0,-3.517,0.3708,2.185,0,0,0,0,0,0,0,0,-1.888,0,0,0,-0.6114,-1.128,-0.03124,0,0,-3.491,0,2.06,-5.177
-0.8352,0,-9.051,0,-3.661,0,0,-1.019,0,2.144,0,0,0,0,0,0,0,0,-1.769,0,0,1.18,0.6179,0,0.6046,0,0,0,0,0,-3.244
-1.362,0,-2.017,0,-3.047,0,0,-2.443,0,1.577,0,0,0,0,0,1.265,0,0,-2.684,0,0,-1.165,2.931,0,-1.307,0,0,0,0,0,-2.795
0,0,-4.761,0,1.082,0,0,0,0,-0.5332,0,-1.629,0,-0.1803,0,0.3171,0,0,-2.831,0,0,-8.103,0,0,0.06467,1.088,0,0,0,3.216,-4.916
0,0,-2.678,0,0.2484,0.2963,-4.934,0,0,0,-4.717,0,0,0,-3.341,-0.615,-0.3621,0,-1.451,0,-3.216,-2.643,0.1379,-2.269,0,0,0,0,0,2.745,-3.776
-1.753,0,-5.882,0,-2.245,0,0.05605,0,0,0,-4.656,0,0,0,0,0.3006,0.514,0,-1.949,0,0,-4.195,0,0,0,-2.407,0,-0.6851,0,3.03,-1.543
0,-1.157,-0.1001,0,0,-0.6385,-6.827,0,0,0,0,-3.856,0,0,-3.147,1.343,0,0,-2.334,0,0,0,0,0,0,-1.564,0,-1.715,0,3.063,-0.9777
-1.642,-0.6203,-1.962,0,-1.235,-2.508,-2.273,0.2206,0,-1.067,-0.2901,-1.015,-6.391,0,-1.389,0,0,0,-1.316,0,0,-3.558,0,0,0,0,-0.2569,-1.849,-1.152,2.368,0
-0.02554,-0.03721,-1.461,0,-0.4454,-1.554,-4.222,-3.057,0,-1.029,0,0,-1.521,0,-3.158,0,0,-0.7915,-1.06,0,0,-4.061,0,0,0,-0.4159,0,-3.72,0,0,0
