beta0,beta1,yp
220.2,-2.955,192.9
218.7,-3.064,142.7
219.9,-4.266,8.869
230.5,-3.302,174.7
221.3,-2.977,176.1
214.8,-3.187,197.8
220.8,-2.171,158.3
225.7,-3.714,211.8
219.3,-2.564,149.3
219.9,-3.129,210.2
223.3,-2.888,153.6
220,-2.526,164.7
220.9,-3.44,181.8
223.4,-3.081,175.2
231.6,-3.752,166.7
224.9,-4.466,163.5
219.6,-3.153,231.2
217.9,-3.152,112.2
226.2,-3.151,182.7
225.5,-2.962,183.6
215.5,-2.32,108.2
219.1,-2.777,178.5
220.1,-3.227,167.3
219.6,-3.446,121.7
223,-3.502,134.4
216.5,-2.544,183.8
225,-3.842,129.5
221.8,-3.913,105
219.1,-2.972,128.9
225.8,-3.859,160.3
221.6,-2.911,149.8
216.9,-2.898,177.2
225.3,-3.372,152.7
220.3,-3.595,187.2
218.5,-3.198,166.3
208.9,-3.259,137.7
221.4,-3.437,145.9
218.6,-2.883,124.6
223.1,-3.295,146.6
232.7,-3.082,152
220.9,-3.926,168
216.7,-2.85,152.4
208.6,-3.883,146.4
222.6,-3.622,144.8
224.1,-3.009,156.7
218.5,-2.898,109.3
214.5,-2.677,237.1
228,-3.189,143.2
226.1,-3.409,137.5
213,-2.867,156
225.9,-3.505,91.58
208.3,-3.094,104
218.9,-3.568,145.3
220,-3.046,203.8
229.7,-3.522,163
221.3,-3.558,175.3
224.2,-3.317,122.5
217.6,-3.604,87.92
218.3,-3.763,167.5
226.1,-3.481,179
230.9,-3.44,167.7
216.2,-2.62,163.7
230.8,-3.228,204.5
210.3,-2.428,195.1
217.4,-3.866,174.5
219,-2.877,148.7
224.1,-2.479,139
219.1,-4.045,161.1
222.9,-3.816,119.8
227.2,-3.597,167.2
221.6,-2.947,142.5
222.4,-3.116,137
225,-2.584,183.4
216.9,-3.808,92.66
219.1,-3.535,190.3
222.7,-2.737,163.4
214.1,-3.14,151.1
216.6,-3.216,236.9
216,-3.87,167.9
227.7,-4.122,147
212.9,-3.217,142.6
221.7,-3.209,156.2
212.8,-3.129,158.2
221,-2.903,154
