beta0,beta1,yp
219.3,-5.204,93.41
227.9,-3.643,117.2
218.7,-2.677,161.9
216.4,-3.702,166.7
216.9,-3.293,197.3
228.5,-3.822,114.6
222.1,-3.504,100.8
209.6,-3.084,149.8
220.4,-3.224,119.5
222.1,-2.895,154.1
220.3,-3.14,166.4
214.5,-2.4,157.1
214.8,-3.474,163.5
218.7,-3.232,105.3
226.2,-2.219,176.7
214.2,-3.015,165.7
218.6,-2.966,179.7
220.8,-2.909,192.7
228,-2.954,172.6
218.3,-2.762,201.5
216.3,-3.158,135.1
220.3,-3.608,149.4
221.1,-3.378,122
221.8,-4.219,147.1
224.8,-3.239,133.5
227.7,-3.717,146.8
220.8,-3.225,126.1
217.2,-3.386,173.5
221.1,-3.632,230.8
231.7,-3.268,211.9
222.5,-3.271,170.9
218.3,-2.515,128.7
221.5,-3.418,164.6
218.4,-3.467,148.2
214.2,-3.767,155
226.6,-4.06,123.7
228.5,-2.936,161.4
222.3,-3.415,183.2
217.9,-3.516,141.7
217.4,-3.693,140.1
216.4,-3.54,188.9
219.6,-4.13,146.3
218,-3.445,146.6
228.7,-3.055,148.9
222.5,-3.373,127
211.6,-2.001,134.2
232.7,-3.801,170.7
231,-3.68,164.6
223.5,-3.107,192.1
222.2,-3.639,157.1
222.8,-3.385,184.1
225.5,-2.974,190.6
226.3,-2.474,193.3
212.3,-4.161,151.4
223.5,-4.862,127.9
212.8,-2.353,160.4
219.3,-3.211,138.6
218.8,-3.238,202.5
217.1,-3.136,108.5
227,-3.28,163.6
219,-3.065,110.1
230.4,-2.37,216
216.6,-1.614,190.8
220.2,-4.034,96.09
210.4,-3.62,167.3
214.6,-2.546,125.8
228.5,-3.88,106.3
210,-3.755,156.4
225.2,-3.199,108.7
220.7,-3.751,133.1
214.3,-3.843,167.3
227.2,-2.664,196.9
222.1,-2.768,206.7
226.7,-3.27,201.7
228.6,-2.563,140.9
214.5,-4.02,157.2
215.2,-3.349,155.9
217.4,-3.457,131.6
230.7,-3.773,147.1
230.2,-2.847,164.4
219.7,-3.341,128.1
214.8,-3.032,163.6
216.8,-4.017,159.2
216.6,-3.526,146
222.6,-2.565,191.3
216.2,-2.947,231.1
212.9,-3.214,110.4
222.2,-2.83,211.8
225.9,-4.14,180.1
215.6,-3.02,147.5
222.6,-4.572,120.8
203,-2.678,157.8
229.7,-1.283,220.4
222.2,-2.285,195.7
221.4,-3.402,173.9
211.1,-2.916,125.3
222.9,-3.394,153.7
213.9,-2.592,43.28
203.1,-3.71,114
233,-4.047,200.9
222.3,-3.559,174.8
210.6,-3.783,105.1
216.6,-3.473,96.65
218.9,-3.424,181
218.8,-3.681,172.8
224.9,-3.328,154.3
220.1,-3.366,157.1
219.4,-3.523,190
224.6,-3.231,191.3
220.4,-3.439,162.1
219.1,-3.374,141.8
214.6,-2.9,156.3
218.7,-2.431,144.9
222.7,-3.432,157.5
220,-4.343,119.3
221.9,-3.555,118.1
221.1,-4.394,161.1
225.8,-3.006,194.2
220.5,-4.033,144.1
220.5,-2.991,181.2
211.3,-3.184,106.9
222.2,-4.426,125.8
224.7,-3.906,176.6
216.7,-4.441,94.44
214.6,-3.715,144.8
216.3,-3.137,159.3
219.3,-3.038,122.8
217.3,-3.669,174.9
217.7,-3.261,118.6
222.2,-3.024,140
216.6,-3.002,116.7
